ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
"CALMDAY 5MG,SUGAR COATED TABLETS",medicine_showdetail.php?sn=B016477100
FERRUM HAUSMANN CHEWABLE TABLETS,medicine_showdetail.php?sn=B016504100
MILLIBAR CAPUSLES,medicine_showdetail.php?sn=B016528100
DIAFORMIN TABLETS 500MG,medicine_showdetail.php?sn=B016581100
TIADEN TABLETS,medicine_showdetail.php?sn=B016784100
CAMCOLIT-400 FILM COATED TABLETS,medicine_showdetail.php?sn=B016792100
ISCHELIUM RETARD TABLETS,medicine_showdetail.php?sn=B016826100
TRAMAL CAPSULES,medicine_showdetail.php?sn=B016863100
CONVULEX 300MG CAPSULES,medicine_showdetail.php?sn=B016898100
CONVULEX 150 SOFT CAPSULES,medicine_showdetail.php?sn=B016904100
ZYLORIC 100MG,medicine_showdetail.php?sn=B016950100
JUVELA N SOFT CAPSULES 200MG,medicine_showdetail.php?sn=B016973100
CONVULEX 500MG CAPSULES,medicine_showdetail.php?sn=B016998100
YOUCOBAL TABLETS 500,medicine_showdetail.php?sn=B016999100
MADOPAR HBS CAPSULES 125MG 'ROCHE',medicine_showdetail.php?sn=B017077100
MADOPAR HBS CAPSULES 125MG 'ROCHE',medicine_showdetail.php?sn=B017077100
BETALOC TABLETS 100MG,medicine_showdetail.php?sn=B017200100
BRICANYL TABLETS 2.5MG,medicine_showdetail.php?sn=B017209100
CLARITYNE TABLET,medicine_showdetail.php?sn=B017219100
ERYTHROCIN STEARATE FILM TAB 250MG,medicine_showdetail.php?sn=B017226100
ASPIRIN TABLETS,medicine_showdetail.php?sn=B017332100
PLENDIL EXTENDED RELEASE TABLETS 10MG,medicine_showdetail.php?sn=B017469100
PLENDIL EXTENDED RELEASE TABLETS 5MG,medicine_showdetail.php?sn=B017488100
HISHITASE TABLET,medicine_showdetail.php?sn=B017613100
TOPOWNAN TAB. 100MG,medicine_showdetail.php?sn=B017646100
HYTRIN 2MG TABLETS,medicine_showdetail.php?sn=B017664100
"CIPROXIN 250, FILM-",medicine_showdetail.php?sn=B017692100
HISTAVERIN TABLETS,medicine_showdetail.php?sn=B017723100
PENTREXYL CAPSULE 2,medicine_showdetail.php?sn=B017748100
LOSEC 20MG CAPSULES,medicine_showdetail.php?sn=B017808100
ZINNAT TABLET 250MG,medicine_showdetail.php?sn=B017852100
VOLMAX 4MG CONTROLLED RELEASE TABLETS,medicine_showdetail.php?sn=B017870100
MELLERIL FILM-COATED TABLETS 100MG,medicine_showdetail.php?sn=B017895100
ORUVAIL CAPSULE 200MG,medicine_showdetail.php?sn=B018003100
ATEHEXAL 100 FILM TABLET,medicine_showdetail.php?sn=B018017100
ALONIX S-5,medicine_showdetail.php?sn=B018026100
METFORMIN F.C. TABLETS B.P. 500MG,medicine_showdetail.php?sn=B018054100
PENTREXYL CAPSULES,medicine_showdetail.php?sn=B018081100
IPRADOL DS 1MG TABLETS,medicine_showdetail.php?sn=B018115100
AUGMENTIN TABLETS 375MG,medicine_showdetail.php?sn=B018155100
IMOVANE TABLETS 7.5MG,medicine_showdetail.php?sn=B018158100
METFORMIN TABLETS 850MG,medicine_showdetail.php?sn=B018160100
GLUCOPHAGE TABLET 850MG,medicine_showdetail.php?sn=B018231100
RELIFEX TABLETS 500MG,medicine_showdetail.php?sn=B018233100
PHYLLOCONTIN CONTIN,medicine_showdetail.php?sn=B018279100
MYKROX TABLET 0.5MG,medicine_showdetail.php?sn=B018332100
NIFEHEXAL RETARD,medicine_showdetail.php?sn=B018413100
NIFEHEXAL 10,medicine_showdetail.php?sn=B018414100
ALEPAM 15 TABLET,medicine_showdetail.php?sn=B018425100
INHIBACE TABLETS 2.5MG ROCHE,medicine_showdetail.php?sn=B018528100
CLOZARIL TABLETS 25MG,medicine_showdetail.php?sn=B018541100
CLOZARIL TABLETS 100MG,medicine_showdetail.php?sn=B018542100
IS 5 MONO-RATIOPHARM 20,medicine_showdetail.php?sn=B018595100
NORFLEX TABLET '3M',medicine_showdetail.php?sn=B018633100
ATIVAN TABLETS 0.5MG,medicine_showdetail.php?sn=B018741100
ATIVAN TABLETS 0.5MG,medicine_showdetail.php?sn=B018741100
SENOKOT TABLETS,medicine_showdetail.php?sn=B018797100
PIETENALE TABLETS,medicine_showdetail.php?sn=B018857100
POLIHEPAR FORTE,medicine_showdetail.php?sn=B018870100
NORGESIC TABLET '3M',medicine_showdetail.php?sn=B018901100
PK-MERZ FILM-COATED,medicine_showdetail.php?sn=B018952100
NICHISTATE TABLETS,medicine_showdetail.php?sn=B018965100
COLPRONE TABLETS,medicine_showdetail.php?sn=B018975100
PREMARIN TABLET 0.625MG,medicine_showdetail.php?sn=B018977100
ISORDIL 10MG TABLETS,medicine_showdetail.php?sn=B018987100
ROZAGOOD TABLET,medicine_showdetail.php?sn=B018996100
AURORIX FILM COATED TABLETS 150MG 'ROCHE',medicine_showdetail.php?sn=B019040100
PREMARIN TABLETS 1.25MG,medicine_showdetail.php?sn=B019041100
UNASYN TABLETS,medicine_showdetail.php?sn=B019086100
ATANAAL CAPSULES,medicine_showdetail.php?sn=B019087100
CIBACEN 10MG FILM-COATED TABLETS,medicine_showdetail.php?sn=B019090100
NUELIN SR 250MG 3M,medicine_showdetail.php?sn=B019105100
MUSCALM S TABLETS,medicine_showdetail.php?sn=B019125100
DIVINA TABLETS,medicine_showdetail.php?sn=B019190100
ACERTIL TABLETS 4MG,medicine_showdetail.php?sn=B019238100
DECADRON TABLET 0.5MG,medicine_showdetail.php?sn=B019266100
INDOCID CAPSULES 25MG,medicine_showdetail.php?sn=B019295100
LAMISIL TABLETS 250,medicine_showdetail.php?sn=B019320100
GENURIN 200MG,medicine_showdetail.php?sn=B019339100
BACLON 10MG TABLETS,medicine_showdetail.php?sn=B019346100
APO-HALOPERIDOL 10MG TABLET,medicine_showdetail.php?sn=B019499100
APO-HALOPERIDOL 5MG TABLETS,medicine_showdetail.php?sn=B019500100
APO-HALOPERIDOL 2MG TABLETS,medicine_showdetail.php?sn=B019501100
GASTRO-TIMELETS,medicine_showdetail.php?sn=B019538100
CELANCE TABLETS 50 MICROGRAMS,medicine_showdetail.php?sn=B019551100
CELANCE TABLETS 250 MICROGRAMS,medicine_showdetail.php?sn=B019552100
UNIPHYLLIN CONTINUS,medicine_showdetail.php?sn=B019557100
XANTHIUM 400MG CAPS,medicine_showdetail.php?sn=B019567100
XANTHIUM 200MG CAPS,medicine_showdetail.php?sn=B019624100
SIRDALUD TABLETS 2MG,medicine_showdetail.php?sn=B019626100
APO-CAPTO 12.5MG TABLETS,medicine_showdetail.php?sn=B019631100
APO-CAPTO 25MG TABLETS,medicine_showdetail.php?sn=B019632100
ATENOLOL TABLETS 100MG,medicine_showdetail.php?sn=B019680100
ACZYM CAPSULES,medicine_showdetail.php?sn=B019702100
PYRAMIDE TABLETS,medicine_showdetail.php?sn=B019703100
VITAMEDIN CAPSULES 25,medicine_showdetail.php?sn=B019704100
SALAZOPYRIN EN-TABS,medicine_showdetail.php?sn=B019749100
MODURETIC TABLETS,medicine_showdetail.php?sn=B019752100
NITROCONTIN CONTINUS TABLETS 2.6MG,medicine_showdetail.php?sn=B019763100
KLARICID 250MG TABLET,medicine_showdetail.php?sn=B019804100
"SYSCOR 10, FILM-COATED TABLETS",medicine_showdetail.php?sn=B019842100
PREMARIN TABLETS 0.3MG,medicine_showdetail.php?sn=B019844100
ADALAT 5 CAPSULES,medicine_showdetail.php?sn=B019856100
MYDOCALM COATED TABLETS,medicine_showdetail.php?sn=B019883100
CARDIZEM RETARD 90MG,medicine_showdetail.php?sn=B019885100
MINOCIN PELLET-FILLED CAPSULES 100MG,medicine_showdetail.php?sn=B019886100
MINOCIN PELLET-FILLED CAPSULES 50MG,medicine_showdetail.php?sn=B019887100
SERVAMOX CAPSULES 500MG,medicine_showdetail.php?sn=B019897100
RYTMONORM 150MG FILM COATED TABLETS,medicine_showdetail.php?sn=B019918100
ATOCK TABLETS 40UG,medicine_showdetail.php?sn=B019931100
ISOPTIN SR 240MG FILM COATED TABLETS,medicine_showdetail.php?sn=B019953100
GLYADE 80MG TABLETS,medicine_showdetail.php?sn=B019999100
NOOTROPIL CAPSULES,medicine_showdetail.php?sn=B020027100
ZOCOR 20MG F.C.T.,medicine_showdetail.php?sn=B020037100
BAMBEC TABLETS 10MG,medicine_showdetail.php?sn=B020058100
SERENACE TABLETS 0.5MG,medicine_showdetail.php?sn=B020093100
SERENACE TABLETS 1.5MG,medicine_showdetail.php?sn=B020094100
SERENACE TABLETS 5MG,medicine_showdetail.php?sn=B020095100
TOCLASE SUGAR COATE,medicine_showdetail.php?sn=B020133100
CATAFLAM 25MG SUGAR-COATED TABLETS,medicine_showdetail.php?sn=B020157100
CATAFLAM50MG SUGAR-COATED TABLETS,medicine_showdetail.php?sn=B020158100
SINEMET 25/250 TABLETS,medicine_showdetail.php?sn=B020162100
ISODADOL S.C. TABLE,medicine_showdetail.php?sn=B020165100
BETALOC ZOK 100MG TABLETS,medicine_showdetail.php?sn=B020174100
PROSCAR FINASTERID,medicine_showdetail.php?sn=B020198100
JEOASE 15,medicine_showdetail.php?sn=B020225100
VALPIN TABLETS,medicine_showdetail.php?sn=B020228100
LONGIFENE TABLETS,medicine_showdetail.php?sn=B020229100
SINEMENT 25100 TABLETS AUSTRALIA,medicine_showdetail.php?sn=B020251100
GLIBENCLAMIDE TABLETS 5MG,medicine_showdetail.php?sn=B020284100
VALPRO 500 ENTERIC COATED TABLETS,medicine_showdetail.php?sn=B020295100
VALPRO 200 ENTERIC COATED TABLETS,medicine_showdetail.php?sn=B020299100
ZYRTEC FILM COATED TABLETS 10MG,medicine_showdetail.php?sn=B020329100
HALOXEN TABLETS 1.5MG,medicine_showdetail.php?sn=B020332100
HALOXEN TABLETS 20MG,medicine_showdetail.php?sn=B020371100
TAKEPRON CAPSULES 3,medicine_showdetail.php?sn=B020379100
CLARINASE REPETABS,medicine_showdetail.php?sn=B020392100
MIROBECT TABLET 50,medicine_showdetail.php?sn=B020399100
DILATREND TABLETS 25MG,medicine_showdetail.php?sn=B020452100
CISDYNE TABLETS 250,medicine_showdetail.php?sn=B020459100
LAMICTAL TABLETS 50MG,medicine_showdetail.php?sn=B020509100
LAMICTAL TABLETS 100MG,medicine_showdetail.php?sn=B020510100
COUMEDIN TABLETS 5MG,medicine_showdetail.php?sn=B020516100
IMDUR CONTROLLED-RELEASE TABLETS 60MG,medicine_showdetail.php?sn=B020554100
APO-NIFED CAPSULES 10MG,medicine_showdetail.php?sn=B020568100
EUPHYLLIN RETARD FI,medicine_showdetail.php?sn=B020576100
DUSPATALIN SUGAR COATED TABLETS 135MG,medicine_showdetail.php?sn=B020592100
ADALAT OROS 30,medicine_showdetail.php?sn=B020634100
CLEOCIN CAPSULES 150MG CLINDAMYCIN HCL HYDRATE,medicine_showdetail.php?sn=B020724100
NIBIOL 100MG FILM C,medicine_showdetail.php?sn=B020753100
GLUCOBAY TABLETS 50MG,medicine_showdetail.php?sn=B020786100
KLIOGEST,medicine_showdetail.php?sn=B020798100
NITROSTAT 0.6MG,medicine_showdetail.php?sn=B020802100
CIPRAM TABLETS 20MG,medicine_showdetail.php?sn=B020862100
VOLTAREN RETARD 75MG SLOW RELEASE FILM-COATED TABLETS,medicine_showdetail.php?sn=B020895100
CORACTEN CAPSULES SPANSULE,medicine_showdetail.php?sn=B020917100
SELEGOS TABLETS 5MG,medicine_showdetail.php?sn=B020964100
SIGMART TABLETS 5MG,medicine_showdetail.php?sn=B020991100
MYCOBUTIN,medicine_showdetail.php?sn=B020999100
CYTRON CAPSULES,medicine_showdetail.php?sn=B021007100
ZOCOR TAB 10MG,medicine_showdetail.php?sn=B021023100
LAMICTAL DISPERSIBLE/CHEWABLE TABLETS 25MG,medicine_showdetail.php?sn=B021092100
LAMICTAL DISPERSIBLE/CHEWABLE TABLETS 5MG,medicine_showdetail.php?sn=B021093100
VERELAN SUSTAINED RELEASE CAPSULES 120 MG,medicine_showdetail.php?sn=B021109100
DILTELAN CAPSULES 120MG,medicine_showdetail.php?sn=B021111100
DILTELAN CAPSULES 90MG,medicine_showdetail.php?sn=B021113100
XANAX TABLETS 0.5MG,medicine_showdetail.php?sn=B021140100
RESLIN TABLETS 50MG,medicine_showdetail.php?sn=B021151100
SINEQUAN CAPSULES 25MG,medicine_showdetail.php?sn=B021159100
SINEQUAN CAPSULES 10MG,medicine_showdetail.php?sn=B021162100
NOOTROPIL FILM-COAT,medicine_showdetail.php?sn=B021165100
LESCOL 40MG,medicine_showdetail.php?sn=B021199100
MINIPRESS TABLET 1MG,medicine_showdetail.php?sn=B021221100
XANAX TABLETS 0.25MG,medicine_showdetail.php?sn=B021234100
ZACTIN CAPSULES 20MG,medicine_showdetail.php?sn=B021263100
DILTIAZEM HYDROCHLORIDE TABLETS 30MG,medicine_showdetail.php?sn=B021267100
DYNACIRE SRO CAPSULES 5MG,medicine_showdetail.php?sn=B021319100
CAPOTEN 12.5MG TABLET,medicine_showdetail.php?sn=B021373100
CLINORIL TABLET 200MG,medicine_showdetail.php?sn=B021388100
SEROPHENE TAB.,medicine_showdetail.php?sn=B021409100
MOPOPRIOL TABLETS 10MG,medicine_showdetail.php?sn=B021421100
VIBRAMYCIN FILM COA,medicine_showdetail.php?sn=B021487100
CORANGIN SR 40MG DIVITABS,medicine_showdetail.php?sn=B021505100
KERLONE F.C.TABLETS 20MG,medicine_showdetail.php?sn=B021530100
STILNOX 10MG FILM-COATED SCORED TABLETS,medicine_showdetail.php?sn=B021531100
PROGYNOVA,medicine_showdetail.php?sn=B021532100
SEROXAT F.C. TABLETS 20MG,medicine_showdetail.php?sn=B021536100
TRITACE 1.25MG CAPSULES,medicine_showdetail.php?sn=B021560100
NORVASC TABLETS 5MG,medicine_showdetail.php?sn=B021571100
TRITACE 2.5MG CAPSULES,medicine_showdetail.php?sn=B021574100
NATRILIX F.C. TABLETS 2.5MG,medicine_showdetail.php?sn=B021586100
RENITEC TABLETS 5MG,medicine_showdetail.php?sn=B021607100
RENITEC TABLETS 20MG,medicine_showdetail.php?sn=B021609100
ROXANE 75 CAP.,medicine_showdetail.php?sn=B021613100
DOXABEN TABLET 2MG,medicine_showdetail.php?sn=B021641100
DOXABEN TABLET 4MG,medicine_showdetail.php?sn=B021642100
DOXABEN* TABLET 1MG,medicine_showdetail.php?sn=B021643100
SINEMET CR 50/200 TABLETS,medicine_showdetail.php?sn=B021644100
SURGAM SA USTAINED ACTION CAPSULES,medicine_showdetail.php?sn=B021650100
HALDOL TABLETS 5MG,medicine_showdetail.php?sn=B021663100
HALDOL TABLETS 0.5M,medicine_showdetail.php?sn=B021664100
XANAX XR EXTENDED-RELEASE TABLETS 0.5MG,medicine_showdetail.php?sn=B021698100
"LUVOX 50, FILM-COATED TABLETS",medicine_showdetail.php?sn=B021716100
HALCION TABLETS 0.25MG,medicine_showdetail.php?sn=B021726100
DRAMAMINE TAB. 50MG,medicine_showdetail.php?sn=B021728100
DIAFORMIN TABLETS 850MG,medicine_showdetail.php?sn=B021729100
DILEM F.C. TABLETS 60MG,medicine_showdetail.php?sn=B021750100
NAPAMIDE F.C TABLETS 2.5MG,medicine_showdetail.php?sn=B021754100
ZITHROMAX CAP. 250M,medicine_showdetail.php?sn=B021778100
ZOLOFT FILM COATED TABLETS 50MG,medicine_showdetail.php?sn=B021780100
MONO-GESIC TABLETS,medicine_showdetail.php?sn=B021829100
TRAMAL RETARD 100MG,medicine_showdetail.php?sn=B021840100
NIFEREX-150 CAPSULES,medicine_showdetail.php?sn=B021843100
SABRIL FILM-COATOD TABLETS 500MG,medicine_showdetail.php?sn=B021847100
COZAAR F.C. TABLETS 50MG,medicine_showdetail.php?sn=B021914100
JUMEXAL TABLETS,medicine_showdetail.php?sn=B021941100
ADALAT RETARD F.C.TABLETS 20MG,medicine_showdetail.php?sn=B021962100
PARAFON FORTE TABLETS,medicine_showdetail.php?sn=B021976100
DEPAKINE CHRONO 500MG FILM COATED TABLETS,medicine_showdetail.php?sn=B022008100
FOSAMAX 10MG TABLET,medicine_showdetail.php?sn=B022015100
STUGERON TABLETS 25MG,medicine_showdetail.php?sn=B022053100
FEDENE CAPSULES 10MG,medicine_showdetail.php?sn=B022059100
PROZAC 20MG DISPERSIBLE,medicine_showdetail.php?sn=B022064100
PRIMALAN MEQUITAZINE TABLETS,medicine_showdetail.php?sn=B022069100
DILATREND TABLETS 6.25 MG,medicine_showdetail.php?sn=B022071100
HARNALIDGE 0.2MG CAPSULES,medicine_showdetail.php?sn=B022095100
ACCUPRIL TABLETS 10 MG,medicine_showdetail.php?sn=B022124100
ACCUPRIL F.C. TABLETS 20 MG,medicine_showdetail.php?sn=B022126100
PANTOLOC GASTRO-RES,medicine_showdetail.php?sn=B022139100
INDERAL TABLETS 10MG,medicine_showdetail.php?sn=B022143100
INDERAL TABLETS 40MG,medicine_showdetail.php?sn=B022150100
ZESTRIL TABLETS 5MG,medicine_showdetail.php?sn=B022151100
ZESTRIL TABLET 10MG,medicine_showdetail.php?sn=B022152100
TENORETIC TABLETS,medicine_showdetail.php?sn=B022153100
NOLVADEX TABLETS 10,medicine_showdetail.php?sn=B022154100
MYSOLINE TABLETS 250MG,medicine_showdetail.php?sn=B022155100
TENORMIN TABLETS 100MG,medicine_showdetail.php?sn=B022159100
TENORMIN TABLETS 50MG,medicine_showdetail.php?sn=B022160100
DIOVAN CAPSULES 80MG,medicine_showdetail.php?sn=B022183100
ZYPREXA FILM COATED TABLETS 5MG,medicine_showdetail.php?sn=B022324100
ZYPREXA FILM COATED TABLETS 10MG,medicine_showdetail.php?sn=B022326100
EFEXOR TABLETS 37.5MG,medicine_showdetail.php?sn=B022328100
UNIPHYLLIN CONTINUS,medicine_showdetail.php?sn=B022365100
PLAQUENIL TABLETS 2,medicine_showdetail.php?sn=B022376100
NATRILIX SR FILM-COATED TABLETS 1.5MG,medicine_showdetail.php?sn=B022387100
COMBIVIR TAB.,medicine_showdetail.php?sn=B022396100
KLARICID FILM-COATED 500MG TABLETS,medicine_showdetail.php?sn=B022420100
DAONIL TABLETS 5MG,medicine_showdetail.php?sn=B022442100
CLIMEN,medicine_showdetail.php?sn=B022443100
TOPAMAX FILM-COATED TABLETS 50MG,medicine_showdetail.php?sn=B022507100
TOPAMAX FILM-COATED TABLETS 100MG,medicine_showdetail.php?sn=B022508100
TOPAMAX FILM-COATED TABLETS 25MG,medicine_showdetail.php?sn=B022509100
LASIX TABLETS 40MG,medicine_showdetail.php?sn=B022535100
SEROQUEL TABLETS 100MG,medicine_showdetail.php?sn=B022542100
SEROQUEL TABLETS 25MG,medicine_showdetail.php?sn=B022543100
SEROQUEL TABLETS 200MG,medicine_showdetail.php?sn=B022544100
APROVEL TABLETS 150MG,medicine_showdetail.php?sn=B022551100
BETAC TABLETS 20MG,medicine_showdetail.php?sn=B022553100
APO-GLYBURIDE TABLETS 5MG,medicine_showdetail.php?sn=B022564100
ATANAAL CAPSULE 5,medicine_showdetail.php?sn=B022593100
ALDACTONE TABLETS 25MG,medicine_showdetail.php?sn=B022610100
SIBELIUM CAPSULES 5,medicine_showdetail.php?sn=B022622100
PREMELLE 2.5,medicine_showdetail.php?sn=B022626100
PREMELLE 5,medicine_showdetail.php?sn=B022627100
PREPULSID TABLET 5M,medicine_showdetail.php?sn=B022632100
TINSET TABLETS 30MG,medicine_showdetail.php?sn=B022633100
NOVONORM 1MG TABLETS,medicine_showdetail.php?sn=B022641100
GLYFORMIN 850 TABLETS,medicine_showdetail.php?sn=B022663100
AMARYL 2.0 TABLETS,medicine_showdetail.php?sn=B022671100
LODOPIN TABLET 50MG,medicine_showdetail.php?sn=B022673100
EFEXOR XR CAPSULES 75MG,medicine_showdetail.php?sn=B022700100
PRIMOLUT-NOR TABLETS 5MG,medicine_showdetail.php?sn=B022725100
METHOTREXATE SODIUM TABLETS 2.5MG,medicine_showdetail.php?sn=B022726100
SURGAM TABLET 200MG,medicine_showdetail.php?sn=B022728100
RISPERDAL TABLETS 1MG,medicine_showdetail.php?sn=B022767100
RISPERDAL TABLETS 2MG,medicine_showdetail.php?sn=B022768100
RISPERDAL TABLETS 2MG,medicine_showdetail.php?sn=B022768100
RISPERDAL TABLETS 3MG,medicine_showdetail.php?sn=B022769100
SINGULAIR FILM COAT,medicine_showdetail.php?sn=B022778100
SINGULAIR CHEWABLE TAB. 5MG,medicine_showdetail.php?sn=B022779100
PARIET F.C TAB. 20M,medicine_showdetail.php?sn=B022782100
DETRUSITOL F.C. TAB. 2MG,medicine_showdetail.php?sn=B022783100
ACTIVELLE,medicine_showdetail.php?sn=B022786100
ATARAX 25MG FILM-COATED TABLETS,medicine_showdetail.php?sn=B022809100
ISMN STADA 20,medicine_showdetail.php?sn=B022812100
SPORANOX CAPSULE 10,medicine_showdetail.php?sn=B022816100
AVANDIA F.C. TABLET 4MG,medicine_showdetail.php?sn=B022818100
NEURONTIN CAPSULES 300MG,medicine_showdetail.php?sn=B022821100
NEURONTIN CAPSULES 400MG,medicine_showdetail.php?sn=B022822100
NEURONTIN CAPSULES 100MG,medicine_showdetail.php?sn=B022823100
